Date,Price
2020-03-24 04-AM,38.49
2020-03-24 03-AM,38.58
2020-03-24 02-AM,39.16
2020-03-24 01-AM,38.81
2020-03-24 12-AM,38.89
2020-03-23 11-PM,38.94
2020-03-23 10-PM,38.74
2020-03-23 09-PM,38.5
2020-03-23 08-PM,38.8
2020-03-23 07-PM,38.21
2020-03-23 06-PM,38.02
2020-03-23 05-PM,37.99
2020-03-23 04-PM,38.71
2020-03-23 03-PM,38.12
2020-03-23 02-PM,38.06
2020-03-23 01-PM,38.51
2020-03-23 12-PM,39.05
2020-03-23 11-AM,36.22
2020-03-23 10-AM,36.39
2020-03-23 09-AM,35.85
2020-03-23 08-AM,35.56
2020-03-23 07-AM,36.47
2020-03-23 06-AM,36.57
2020-03-23 05-AM,36.54
2020-03-23 04-AM,36.56
2020-03-23 03-AM,36.9
2020-03-23 02-AM,35.99
2020-03-23 01-AM,35.75
2020-03-23 12-AM,36.05
2020-03-22 11-PM,35.4
2020-03-22 10-PM,35.72
2020-03-22 09-PM,36.55
2020-03-22 08-PM,35.66
2020-03-22 07-PM,35.67
2020-03-22 06-PM,36.02
2020-03-22 05-PM,36.35
2020-03-22 04-PM,36.3
2020-03-22 03-PM,36.87
2020-03-22 02-PM,37.07
2020-03-22 01-PM,37.38
2020-03-22 12-PM,37.04
2020-03-22 11-AM,37.75
2020-03-22 10-AM,38.44
2020-03-22 09-AM,38.82
2020-03-22 08-AM,38.49
2020-03-22 07-AM,38.87
2020-03-22 06-AM,38.88
2020-03-22 05-AM,39.21
2020-03-22 04-AM,39.27
2020-03-22 03-AM,39.31
2020-03-22 02-AM,38.64
2020-03-22 01-AM,38.89
2020-03-22 12-AM,38.55
2020-03-21 11-PM,38.32
2020-03-21 10-PM,38.3
2020-03-21 09-PM,38.44
2020-03-21 08-PM,39.19
2020-03-21 07-PM,38.28
2020-03-21 06-PM,38.42
2020-03-21 05-PM,37.46
2020-03-21 04-PM,37.97
2020-03-21 03-PM,38.58
2020-03-21 02-PM,38.37
2020-03-21 01-PM,38.06
2020-03-21 12-PM,37.84
2020-03-21 11-AM,37.99
2020-03-21 10-AM,37.03
2020-03-21 09-AM,37.06
2020-03-21 08-AM,37.55
2020-03-21 07-AM,37.74
2020-03-21 06-AM,38.33
2020-03-21 05-AM,37.45
2020-03-21 04-AM,38.11
2020-03-21 03-AM,38.73
2020-03-21 02-AM,39
2020-03-21 01-AM,38.52
2020-03-21 12-AM,37.64
2020-03-20 11-PM,38.08
2020-03-20 10-PM,37.6
2020-03-20 09-PM,38.15
2020-03-20 08-PM,36.17
2020-03-20 07-PM,38.08
2020-03-20 06-PM,38.16
2020-03-20 05-PM,40.29
2020-03-20 04-PM,40.19
2020-03-20 03-PM,41.33
2020-03-20 02-PM,41.64
2020-03-20 01-PM,40.95
2020-03-20 12-PM,41.2
2020-03-20 11-AM,41.52
2020-03-20 10-AM,43.2
2020-03-20 09-AM,42.39
2020-03-20 08-AM,41.74
2020-03-20 07-AM,39.93
2020-03-20 06-AM,39.4
2020-03-20 05-AM,39.38
2020-03-20 04-AM,38.95
2020-03-20 03-AM,38.53
2020-03-20 02-AM,38.72
2020-03-20 01-AM,38.76
2020-03-20 12-AM,39.36
2020-03-19 11-PM,38.9
2020-03-19 10-PM,40.08
2020-03-19 09-PM,39.9
2020-03-19 08-PM,39.67
2020-03-19 07-PM,38.86
2020-03-19 06-PM,38.63
2020-03-19 05-PM,40.03
2020-03-19 04-PM,39
2020-03-19 03-PM,36.96
2020-03-19 02-PM,36.16
2020-03-19 01-PM,36.33
2020-03-19 12-PM,36.9
2020-03-19 11-AM,35.79
2020-03-19 10-AM,35.39
2020-03-19 09-AM,35.78
2020-03-19 08-AM,34.85
2020-03-19 07-AM,35.02
2020-03-19 06-AM,34.73
2020-03-19 05-AM,34.82
2020-03-19 04-AM,34.12
2020-03-19 03-AM,34.21
2020-03-19 02-AM,34.22
2020-03-19 01-AM,34.59
2020-03-19 12-AM,34.58
2020-03-18 11-PM,34.71
2020-03-18 10-PM,34.23
2020-03-18 09-PM,34.25
2020-03-18 08-PM,34.09
2020-03-18 07-PM,33.97
2020-03-18 06-PM,33.69
2020-03-18 05-PM,33.34
2020-03-18 04-PM,33.32
2020-03-18 03-PM,33.86
2020-03-18 02-PM,33.88
2020-03-18 01-PM,34.18
2020-03-18 12-PM,33.06
2020-03-18 11-AM,33.31
2020-03-18 10-AM,33
2020-03-18 09-AM,33.27
2020-03-18 08-AM,33.15
2020-03-18 07-AM,32.77
2020-03-18 06-AM,33.76
2020-03-18 05-AM,33.73
2020-03-18 04-AM,34.76
2020-03-18 03-AM,34.63
2020-03-18 02-AM,34.43
2020-03-18 01-AM,34.25
2020-03-18 12-AM,34.2
2020-03-17 11-PM,34.07
2020-03-17 10-PM,34.76
2020-03-17 09-PM,34.73
2020-03-17 08-PM,34.8
2020-03-17 07-PM,34.68
2020-03-17 06-PM,34.88
2020-03-17 05-PM,34.66
2020-03-17 04-PM,34.63
2020-03-17 03-PM,34.9
2020-03-17 02-PM,34.1
2020-03-17 01-PM,33.19
2020-03-17 12-PM,34.04
2020-03-17 11-AM,34.47
2020-03-17 10-AM,34.73
2020-03-17 09-AM,34.34
2020-03-17 08-AM,34.6
2020-03-17 07-AM,35.04
2020-03-17 06-AM,34.86
2020-03-17 05-AM,35.06
2020-03-17 04-AM,34.6
2020-03-17 03-AM,35.02
2020-03-17 02-AM,34.45
2020-03-17 01-AM,34.17
2020-03-17 12-AM,33.3
2020-03-16 11-PM,33.2
2020-03-16 10-PM,31.93
2020-03-16 09-PM,32.34
2020-03-16 08-PM,31.91
2020-03-16 07-PM,32.22
2020-03-16 06-PM,33.23
2020-03-16 05-PM,32.98
2020-03-16 04-PM,32.9
2020-03-16 03-PM,33.53
2020-03-16 02-PM,32.54
2020-03-16 01-PM,31.63
2020-03-16 12-PM,31.04
2020-03-16 11-AM,30.32
2020-03-16 10-AM,29.51
2020-03-16 09-AM,31.37
2020-03-16 08-AM,32.39
2020-03-16 07-AM,31.59
2020-03-16 06-AM,33.37
2020-03-16 05-AM,34.13
2020-03-16 04-AM,35.32
2020-03-16 03-AM,35.82
2020-03-16 02-AM,36.3
2020-03-16 01-AM,35.84
2020-03-16 12-AM,35.57
2020-03-15 11-PM,36.38
2020-03-15 10-PM,36.28
2020-03-15 09-PM,38.55
2020-03-15 08-PM,35.17
2020-03-15 07-PM,35.75
2020-03-15 06-PM,35.93
2020-03-15 05-PM,35.66
2020-03-15 04-PM,36.07
2020-03-15 03-PM,35.99
2020-03-15 02-PM,35.84
2020-03-15 01-PM,35.97
2020-03-15 12-PM,35.73
2020-03-15 11-AM,36.14
2020-03-15 10-AM,36.12
2020-03-15 09-AM,35.25
2020-03-15 08-AM,35.14
2020-03-15 07-AM,35.25
2020-03-15 06-AM,35.59
2020-03-15 05-AM,35.15
2020-03-15 04-AM,35.05
2020-03-15 03-AM,34.39
2020-03-15 02-AM,34.59
2020-03-15 01-AM,34.14
2020-03-15 12-AM,34.89
2020-03-14 11-PM,34.4
2020-03-14 10-PM,35.04
2020-03-14 09-PM,35.13
2020-03-14 08-PM,35.32
2020-03-14 07-PM,35.48
2020-03-14 06-PM,35.72
2020-03-14 05-PM,35.68
2020-03-14 04-PM,35.76
2020-03-14 03-PM,35.09
2020-03-14 02-PM,35.35
2020-03-14 01-PM,35.01
2020-03-14 12-PM,35.59
2020-03-14 11-AM,35.85
2020-03-14 10-AM,35.68
2020-03-14 09-AM,34.55
2020-03-14 08-AM,35.28
2020-03-14 07-AM,36.36
2020-03-14 06-AM,36.34
2020-03-14 05-AM,36.13
2020-03-14 04-AM,36.64
2020-03-14 03-AM,37.17
2020-03-14 02-AM,36.94
2020-03-14 01-AM,36.97
2020-03-14 12-AM,36.54
2020-03-13 11-PM,37.52
2020-03-13 10-PM,36.99
2020-03-13 09-PM,36.42
2020-03-13 08-PM,35.56
2020-03-13 07-PM,36.3
2020-03-13 06-PM,33.41
2020-03-13 05-PM,34.91
2020-03-13 04-PM,34.82
2020-03-13 03-PM,34.12
2020-03-13 02-PM,35.95
2020-03-13 01-PM,37.12
2020-03-13 12-PM,36.18
2020-03-13 11-AM,34.02
2020-03-13 10-AM,35.14
2020-03-13 09-AM,34.88
2020-03-13 08-AM,33.59
2020-03-13 07-AM,33.7
2020-03-13 06-AM,32.79
2020-03-13 05-AM,30.94
2020-03-13 04-AM,28.96
2020-03-13 03-AM,32.23
2020-03-13 02-AM,29.29
2020-03-13 01-AM,25.24
2020-03-13 12-AM,28.56
2020-03-12 11-PM,29.83
2020-03-12 10-PM,33.38
2020-03-12 09-PM,33.42
2020-03-12 08-PM,33.06
2020-03-12 07-PM,34.82
2020-03-12 06-PM,34.7
2020-03-12 05-PM,35.98
2020-03-12 04-PM,34.88
2020-03-12 03-PM,35.28
2020-03-12 02-PM,34.43
2020-03-12 01-PM,32.69
2020-03-12 12-PM,33.5
2020-03-12 11-AM,33.83
2020-03-12 10-AM,34.25
2020-03-12 09-AM,42.36
2020-03-12 08-AM,42.51
2020-03-12 07-AM,43.08
2020-03-12 06-AM,44.21
2020-03-12 05-AM,45.49
2020-03-12 04-AM,45.36
2020-03-12 03-AM,46.06
2020-03-12 02-AM,46.02
2020-03-12 01-AM,46.16
2020-03-12 12-AM,48.18
2020-03-11 11-PM,48.53
2020-03-11 10-PM,48.62
2020-03-11 09-PM,47.72
2020-03-11 08-PM,48.37
