Date,Price
2020-03-24 04-AM,6.607
2020-03-24 03-AM,6.663
2020-03-24 02-AM,6.735
2020-03-24 01-AM,6.671
2020-03-24 12-AM,6.698
2020-03-23 11-PM,6.683
2020-03-23 10-PM,6.567
2020-03-23 09-PM,6.565
2020-03-23 08-PM,6.514
2020-03-23 07-PM,6.452
2020-03-23 06-PM,6.507
2020-03-23 05-PM,6.383
2020-03-23 04-PM,6.45
2020-03-23 03-PM,6.327
2020-03-23 02-PM,6.38
2020-03-23 01-PM,6.414
2020-03-23 12-PM,6.365
2020-03-23 11-AM,6.006
2020-03-23 10-AM,6.007
2020-03-23 09-AM,5.927
2020-03-23 08-AM,5.913
2020-03-23 07-AM,5.963
2020-03-23 06-AM,6.046
2020-03-23 05-AM,6.012
2020-03-23 04-AM,6.062
2020-03-23 03-AM,6.09
2020-03-23 02-AM,6.023
2020-03-23 01-AM,6.015
2020-03-23 12-AM,5.99
2020-03-22 11-PM,5.947
2020-03-22 10-PM,5.952
2020-03-22 09-PM,6.139
2020-03-22 08-PM,5.945
2020-03-22 07-PM,5.934
2020-03-22 06-PM,6.007
2020-03-22 05-PM,6.045
2020-03-22 04-PM,6.066
2020-03-22 03-PM,6.104
2020-03-22 02-PM,6.082
2020-03-22 01-PM,6.095
2020-03-22 12-PM,6.044
2020-03-22 11-AM,6.182
2020-03-22 10-AM,6.28
2020-03-22 09-AM,6.341
2020-03-22 08-AM,6.268
2020-03-22 07-AM,6.324
2020-03-22 06-AM,6.34
2020-03-22 05-AM,6.397
2020-03-22 04-AM,6.332
2020-03-22 03-AM,6.378
2020-03-22 02-AM,6.283
2020-03-22 01-AM,6.3
2020-03-22 12-AM,6.204
2020-03-21 11-PM,6.236
2020-03-21 10-PM,6.239
2020-03-21 09-PM,6.213
2020-03-21 08-PM,6.33
2020-03-21 07-PM,6.216
2020-03-21 06-PM,6.226
2020-03-21 05-PM,6.08
2020-03-21 04-PM,6.135
2020-03-21 03-PM,6.264
2020-03-21 02-PM,6.225
2020-03-21 01-PM,6.165
2020-03-21 12-PM,6.074
2020-03-21 11-AM,6.071
2020-03-21 10-AM,5.928
2020-03-21 09-AM,5.909
2020-03-21 08-AM,6.045
2020-03-21 07-AM,6.093
2020-03-21 06-AM,6.18
2020-03-21 05-AM,6.043
2020-03-21 04-AM,6.149
2020-03-21 03-AM,6.245
2020-03-21 02-AM,6.348
2020-03-21 01-AM,6.251
2020-03-21 12-AM,6.181
2020-03-20 11-PM,6.273
2020-03-20 10-PM,6.25
2020-03-20 09-PM,6.453
2020-03-20 08-PM,6.136
2020-03-20 07-PM,6.153
2020-03-20 06-PM,6.136
2020-03-20 05-PM,6.474
2020-03-20 04-PM,6.494
2020-03-20 03-PM,6.793
2020-03-20 02-PM,6.858
2020-03-20 01-PM,6.634
2020-03-20 12-PM,6.844
2020-03-20 11-AM,6.851
2020-03-20 10-AM,7.128
2020-03-20 09-AM,6.997
2020-03-20 08-AM,6.852
2020-03-20 07-AM,6.651
2020-03-20 06-AM,6.591
2020-03-20 05-AM,6.544
2020-03-20 04-AM,6.477
2020-03-20 03-AM,6.432
2020-03-20 02-AM,6.479
2020-03-20 01-AM,6.469
2020-03-20 12-AM,6.527
2020-03-19 11-PM,6.472
2020-03-19 10-PM,6.661
2020-03-19 09-PM,6.585
2020-03-19 08-PM,6.469
2020-03-19 07-PM,6.451
2020-03-19 06-PM,6.441
2020-03-19 05-PM,6.614
2020-03-19 04-PM,6.399
2020-03-19 03-PM,6.22
2020-03-19 02-PM,6.14
2020-03-19 01-PM,6.16
2020-03-19 12-PM,6.218
2020-03-19 11-AM,6.027
2020-03-19 10-AM,5.989
2020-03-19 09-AM,6.055
2020-03-19 08-AM,5.868
2020-03-19 07-AM,5.879
2020-03-19 06-AM,5.797
2020-03-19 05-AM,5.784
2020-03-19 04-AM,5.691
2020-03-19 03-AM,5.694
2020-03-19 02-AM,5.706
2020-03-19 01-AM,5.751
2020-03-19 12-AM,5.697
2020-03-18 11-PM,5.726
2020-03-18 10-PM,5.614
2020-03-18 09-PM,5.615
2020-03-18 08-PM,5.579
2020-03-18 07-PM,5.584
2020-03-18 06-PM,5.547
2020-03-18 05-PM,5.493
2020-03-18 04-PM,5.509
2020-03-18 03-PM,5.584
2020-03-18 02-PM,5.576
2020-03-18 01-PM,5.61
2020-03-18 12-PM,5.438
2020-03-18 11-AM,5.477
2020-03-18 10-AM,5.43
2020-03-18 09-AM,5.477
2020-03-18 08-AM,5.462
2020-03-18 07-AM,5.424
2020-03-18 06-AM,5.519
2020-03-18 05-AM,5.563
2020-03-18 04-AM,5.675
2020-03-18 03-AM,5.679
2020-03-18 02-AM,5.644
2020-03-18 01-AM,5.626
2020-03-18 12-AM,5.635
2020-03-17 11-PM,5.626
2020-03-17 10-PM,5.73
2020-03-17 09-PM,5.704
2020-03-17 08-PM,5.734
2020-03-17 07-PM,5.664
2020-03-17 06-PM,5.679
2020-03-17 05-PM,5.659
2020-03-17 04-PM,5.659
2020-03-17 03-PM,5.683
2020-03-17 02-PM,5.585
2020-03-17 01-PM,5.46
2020-03-17 12-PM,5.57
2020-03-17 11-AM,5.62
2020-03-17 10-AM,5.665
2020-03-17 09-AM,5.592
2020-03-17 08-AM,5.698
2020-03-17 07-AM,5.752
2020-03-17 06-AM,5.737
2020-03-17 05-AM,5.769
2020-03-17 04-AM,5.686
2020-03-17 03-AM,5.687
2020-03-17 02-AM,5.627
2020-03-17 01-AM,5.535
2020-03-17 12-AM,5.465
2020-03-16 11-PM,5.394
2020-03-16 10-PM,5.249
2020-03-16 09-PM,5.308
2020-03-16 08-PM,5.22
2020-03-16 07-PM,5.238
2020-03-16 06-PM,5.45
2020-03-16 05-PM,5.373
2020-03-16 04-PM,5.34
2020-03-16 03-PM,5.494
2020-03-16 02-PM,5.34
2020-03-16 01-PM,5.205
2020-03-16 12-PM,5.182
2020-03-16 11-AM,5.025
2020-03-16 10-AM,4.917
2020-03-16 09-AM,5.112
2020-03-16 08-AM,5.203
2020-03-16 07-AM,5.077
2020-03-16 06-AM,5.382
2020-03-16 05-AM,5.588
2020-03-16 04-AM,5.755
2020-03-16 03-AM,5.832
