Date,Price
2020-03-24 03-AM,133.84
2020-03-24 02-AM,136.22
2020-03-24 01-AM,134.71
2020-03-24 12-AM,134.84
2020-03-23 11-PM,135.92
2020-03-23 10-PM,133.11
2020-03-23 09-PM,131.99
2020-03-23 08-PM,131.87
2020-03-23 07-PM,130.07
2020-03-23 06-PM,129.76
2020-03-23 05-PM,130.04
2020-03-23 04-PM,132.58
2020-03-23 03-PM,129.42
2020-03-23 02-PM,129.88
2020-03-23 01-PM,131.5
2020-03-23 12-PM,132.76
2020-03-23 11-AM,122.79
2020-03-23 10-AM,123.45
2020-03-23 09-AM,121.92
2020-03-23 08-AM,121.54
2020-03-23 07-AM,123.69
2020-03-23 06-AM,125.23
2020-03-23 05-AM,124.22
2020-03-23 04-AM,124.92
2020-03-23 03-AM,125.18
2020-03-23 02-AM,124.2
2020-03-23 01-AM,123.29
2020-03-23 12-AM,124.12
2020-03-22 11-PM,122.32
2020-03-22 10-PM,123.1
2020-03-22 09-PM,127.3
2020-03-22 08-PM,124.09
2020-03-22 07-PM,123.65
2020-03-22 06-PM,125.95
2020-03-22 05-PM,125.83
2020-03-22 04-PM,126.51
2020-03-22 03-PM,127.97
2020-03-22 02-PM,128.48
2020-03-22 01-PM,129.06
2020-03-22 12-PM,127.92
2020-03-22 11-AM,130.89
2020-03-22 10-AM,132.88
2020-03-22 09-AM,133.88
2020-03-22 08-AM,132.6
2020-03-22 07-AM,134.42
2020-03-22 06-AM,134.74
2020-03-22 05-AM,135.83
2020-03-22 04-AM,134.72
2020-03-22 03-AM,135.91
2020-03-22 02-AM,133.6
2020-03-22 01-AM,134.4
2020-03-22 12-AM,132.2
2020-03-21 11-PM,132.66
2020-03-21 10-PM,132.39
2020-03-21 09-PM,132.75
2020-03-21 08-PM,135.13
2020-03-21 07-PM,132.74
2020-03-21 06-PM,132.53
2020-03-21 05-PM,128.93
2020-03-21 04-PM,131.01
2020-03-21 03-PM,132.94
2020-03-21 02-PM,132.04
2020-03-21 01-PM,131.62
2020-03-21 12-PM,130.55
2020-03-21 11-AM,130.56
2020-03-21 10-AM,128.21
2020-03-21 09-AM,128.59
2020-03-21 08-AM,130.86
2020-03-21 07-AM,131.22
2020-03-21 06-AM,133.15
2020-03-21 05-AM,129.69
2020-03-21 04-AM,132.16
2020-03-21 03-AM,134.34
2020-03-21 02-AM,134.54
2020-03-21 01-AM,134.69
